Chemical Name,shape,coating,diameter mean,diameter Units,Chemical Purity Mean,surface (m2/g),size mean,Size Units,Dissolution,zp mean,zp Units,Species group,Species Scientific Name,media type,illumination,Endpoint,Duration,Observed Duration Units,Toxicity Conc Mean,Toxicity Conc Units,authors,title,journal,vol,issue,year
Ag, , ,100,nm, , , ,nm,3.3% at 1 to 30 mg/L, ,mV,bacteria,E. coli JI130 (pSLlux) sodA−,1:1 0.9% NaCl:MilliQ water,dark,EC50 ,30,min,331,mg/L,"Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals",ANALYTICAL AND BIOANALYTICAL CHEMISTRY,398,2,2010
Ag, , ,100,nm, , , ,nm,3.3% at 1 to 30 mg/L, ,mV,bacteria,E. coli AB1157 (pSLlux) sod wt,1:1 0.9% NaCl:MilliQ water,dark,EC50 ,2,h,45.9,mg/L,"Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals",ANALYTICAL AND BIOANALYTICAL CHEMISTRY,398,2,2010
Ag, , ,100,nm, , , ,nm,3.3% at 1 to 30 mg/L, ,mV,bacteria,E. coli JI131 (pSLlux) sodB−,1:1 0.9% NaCl:MilliQ water,dark,EC50 ,30,min,485,mg/L,"Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals",ANALYTICAL AND BIOANALYTICAL CHEMISTRY,398,2,2010
Ag, , ,100,nm, , , ,nm,3.3% at 1 to 30 mg/L, ,mV,bacteria,E. coli AS391 (pSLlux) sodABC−,1:1 0.9% NaCl:MilliQ water,dark,EC50 ,30,min,5.8,mg/L,"Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals",ANALYTICAL AND BIOANALYTICAL CHEMISTRY,398,2,2010
Ag, , ,100,nm, , , ,nm,3.3% at 1 to 30 mg/L, ,mV,bacteria,E. coli AB1157 (pSLlux) sod wt,1:1 0.9% NaCl:MilliQ water,dark,EC50 ,30,min,571,mg/L,"Ivask, A.; Bondarenko, O.; Jepihhina, N.; Kahru, A.","Profiling of the reactive oxygen species-related ecotoxicity of CuO, ZnO, TiO(2), silver and fullerene nanoparticles using a set of recombinant luminescent Escherichia coli strains: differentiating the impact of particles and solubilised metals",ANALYTICAL AND BIOANALYTICAL CHEMISTRY,398,2,2010
Ag,spherical,PVP,15,nm,silver content 9.7 ± 0.4%, ,57.6,nm,< 2% in 48 h,-17,mV,crustacean,Daphnia galeata,M4 medium without EDTA,16-h/8-h light/dark cycle,EC50,48,h,13.9,µg Ag/L,"Voelker, Carolin; Boedicker, Cathinka; Daubenthaler, Jan; Oetken, Matthias; Oehlmann, Joerg","Comparative Toxicity Assessment of Nanosilver on Three Daphnia Species in Acute, Chronic and Multi-Generation Experiments",PLOS ONE,8,10,2013
Ag, , ,100,nm, , ,168.9,nm,"analysed, value not given",-34.6,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,9,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,168.9,nm,"analysed, value not given",-34.6,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,9.6,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,168.9,nm,"analysed, value not given",-34.6,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,11.8,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,173.9,nm,"analysed, value not given",,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,12.4,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,147.7,nm,"analysed, value not given",-33,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,14.3,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,616.6,nm,"analysed, value not given",-26.6,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,531.5,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,865.4,nm,"analysed, value not given",-25.7,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,1153.9,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,616.6,nm,"analysed, value not given",-26.6,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,1407.8,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,616.6,nm,"analysed, value not given",-26.6,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,1991.1,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag, , ,100,nm, , ,1428,nm,"analysed, value not given",-24.8,mV,crustacean,Daphnia magna,"moderately hard reconstituted water (96 mg/L NaHCO3, 60 mg/L CaSO4·2H2O, 60 mg/L MgSO4, 4 mg/L KCl; pH 7.6, according to the US EPA)",16-h/8-h light/dark cycle,EC50,24,h,3844.1,µg/L,"Jo, Hun Je; Choi, Jae Woo; Lee, Sang Hyup; Hong, Seok Won",Acute toxicity of Ag and CuO nanoparticle suspensions against Daphnia magna: The importance of their dissolved fraction varying with preparation methods,JOURNAL OF HAZARDOUS MATERIALS,227,,2012
Ag,spherical,PVP,15,nm,silver content 9.7 ± 0.4%, ,57.6,nm,< 2% in 48 h,-17,mV,crustacean,Daphnia magna,M4 medium without EDTA,16-h/8-h light/dark cycle,EC50,48,h,121,µg Ag/L,"Voelker, Carolin; Boedicker, Cathinka; Daubenthaler, Jan; Oetken, Matthias; Oehlmann, Joerg","Comparative Toxicity Assessment of Nanosilver on Three Daphnia Species in Acute, Chronic and Multi-Generation Experiments",PLOS ONE,8,10,2013
Ag, , ,60,nm, , , ,nm, , ,mV,crustacean,Daphnia magna,Elendt’s M4 medium (OECD Test Guideline 202),16-h/8-h light/dark cycle,EC50,48,h,1,µg Ag/L,"Kim, Jiwon; Kim, Sooyeon; Lee, Sungkyu",Differentiation of the toxicities of silver nanoparticles and silver ions to the Japanese medaka (Oryzias latipes) and the cladoceran Daphnia magna,NANOTOXICOLOGY,5,2,2011
Ag, , ,300,nm, , , ,nm, , ,mV,crustacean,Daphnia magna,Elendt’s M4 medium (OECD Test Guideline 202),16-h/8-h light/dark cycle,EC50,48,h,1.4,µg Ag/L,"Kim, Jiwon; Kim, Sooyeon; Lee, Sungkyu",Differentiation of the toxicities of silver nanoparticles and silver ions to the Japanese medaka (Oryzias latipes) and the cladoceran Daphnia magna,NANOTOXICOLOGY,5,2,2011
Ag, ,citrate,13.3,nm,20.36% Ag wt/wt, , ,nm,11% at concentrations < 1 mg/L,-45.2,mV,crustacean,Daphnia magna,Elendt’s M4 medium (OECD Test Guideline 202),16-h/8-h light/dark cycle,EC50,48,h,7.98,µg/L,"Lee, Yong-Ju; Kim, Jiwon; Oh, Jeehyun; Bae, Sujin; Lee, Sungkyu; Hong, In Seok; Kim, Sang-Ho",Ion-release kinetics and ecotoxicity effects of silver nanoparticles,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,31,1,2012
Ag, ,noncoated,80,nm, , , ,nm,49% at concentrations < 1 mg/L, ,mV,crustacean,Daphnia magna,Elendt’s M4 medium (OECD Test Guideline 202),16-h/8-h light/dark cycle,EC50,48,h,0.75,µg/L,"Lee, Yong-Ju; Kim, Jiwon; Oh, Jeehyun; Bae, Sujin; Lee, Sungkyu; Hong, In Seok; Kim, Sang-Ho",Ion-release kinetics and ecotoxicity effects of silver nanoparticles,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,31,1,2012
Ag,circularity 0.91 ± 0.04,citrate,7,nm, , ,10,nm, , ,mV,crustacean,Daphnia magna,Standard OECD ISO media (CaCl2·2H2O 294 mg/L; MgSO4·7H2O123.25 mg/L; NaHCO3 64.75 mg/L; KCl 5.75 mg/L and Na2SeO3 2 µg/L); pH 7.5; ionic strength 8.84 µM; diluted ten-fold, ,EC50,24,h,7.46,µg/L,"Romer, Isabella; Gavin, Alex J; White, Thomas A; Merrifield, Ruth C; Chipman, James K; Viant, Mark R; Lead, Jamie R",The critical importance of defined media conditions in Daphnia magna nanotoxicity studies.,Toxicology letters,223,1,2013
Ag, ,protein,12.5,nm,coating 30%, ,50.7,nm, ,-16.5,mV,crustacean,Daphnia magna,"artificial freshwater (ISO medium, OECD 202), conductivity 640 µS/cm, DOC 0 mg C/L, pH 7.8-8.0",dark,EC50,48,h,36.6,µg Ag/L,"Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne",Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,20,5,2013
Ag, ,PVP,8.4,nm,coating 71%, ,150.7,nm, ,-4.86,mV,crustacean,Daphnia magna,"artificial freshwater (ISO medium, OECD 202), conductivity 640 µS/cm, DOC 0 mg C/L, pH 7.8-8.0",dark,EC50,48,h,15.7,µg Ag/L,"Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne",Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,20,5,2013
Ag,spherical,PVP,15,nm,silver content 9.7 ± 0.4%, ,57.6,nm,< 2% in 48 h,-17,mV,crustacean,Daphnia pulex,M4 medium without EDTA,16-h/8-h light/dark cycle,EC50,48,h,8.95,µg Ag/L,"Voelker, Carolin; Boedicker, Cathinka; Daubenthaler, Jan; Oetken, Matthias; Oehlmann, Joerg","Comparative Toxicity Assessment of Nanosilver on Three Daphnia Species in Acute, Chronic and Multi-Generation Experiments",PLOS ONE,8,10,2013
Ag,spherical,dispersant polyoxyethylene glycerol trioleate and polyoxyethylene (20) sorbitan monolaurate (Tween 20),15  (90% <20 ),nm,89.84, ," 115  mode 95 nm at 1000 µM; 200 nm, mode 210 nm at 10 µM",nm,5-11% at 1000 µM; 1-2% at 10 µM,-10.3,mV,fish,Danio rerio,"0.01M 3-morpholino propane sulfonic acid buffer (pH 7.0) in a reconstituted medium consisting of 1.36mM Ca(NO3)2, 0.73mM Mg(NO3)2, 1.19mM NaNO3, and 0.20mM KNO3", ,EC50,96,h,0.78,µM,"Wang, Zhuang; Chen, Jingwen; Li, Xuehua; Shao, Jianping; Peijnenburg, Willie J. G. M.",Aquatic toxicity of nanosilver colloids to different trophic organisms: Contributions of particles and free silver ion,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,31,10,2012
Ag,spherical,noncoated,35,nm,99.5,40,"189 nm, mode 145 nm at 1000 µM; 225 nm, mode 210 nm at 10 µM",nm,2-3% at 1000 µM; 2-12% at 10 µM,-23.2,mV,fish,Danio rerio,"0.01M 3-morpholino propane sulfonic acid buffer (pH 7.0) in a reconstituted medium consisting of 1.36mM Ca(NO3)2, 0.73mM Mg(NO3)2, 1.19mM NaNO3, and 0.20mM KNO3", ,EC50,96,h,1.61,µM,"Wang, Zhuang; Chen, Jingwen; Li, Xuehua; Shao, Jianping; Peijnenburg, Willie J. G. M.",Aquatic toxicity of nanosilver colloids to different trophic organisms: Contributions of particles and free silver ion,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,31,10,2012
Ag,spherical,polyvinylpyrrolidone (PVP),80,nm,99.9, ,"196 nm, mode 113 nm at 1000 µM; 310 nm, mode 270 nm at 10 µM",nm,1-5% at 1000 µM; 2-25% at 10 µM,-24.1,mV,fish,Danio rerio,"0.01M 3-morpholino propane sulfonic acid buffer (pH 7.0) in a reconstituted medium consisting of 1.36mM Ca(NO3)2, 0.73mM Mg(NO3)2, 1.19mM NaNO3, and 0.20mM KNO3", ,EC50,96,h,1.36,µM,"Wang, Zhuang; Chen, Jingwen; Li, Xuehua; Shao, Jianping; Peijnenburg, Willie J. G. M.",Aquatic toxicity of nanosilver colloids to different trophic organisms: Contributions of particles and free silver ion,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,31,10,2012
Ag, ,protein,12.5,nm,coating 30%, ,50.7,nm, ,-16.5,mV,crustacean,Daphnia magna,"river water, conductivity 560 µS/cm, DOC 15.3 mg C/L, pH 8.3",dark,EC50,48,h,44,µg Ag/L,"Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne",Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,20,5,2013
Ag, ,PVP,8.4,nm,coating 71%, ,105.7,nm, ,-4.86,mV,crustacean,Daphnia magna,"river water, conductivity 560 µS/cm, DOC 15.3 mg C/L, pH 8.3",dark,EC50,48,h,55.5,µg Ag/L,"Blinova, Irina; Niskanen, Jukka; Kajankari, Paula; Kanarbik, Liina; Kaekinen, Aleksandr; Tenhu, Heikki; Penttinen, Olli-Pekka; Kahru, Anne",Toxicity of two types of silver nanoparticles to aquatic crustaceans Daphnia magna and Thamnocephalus platyurus,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,20,5,2013
Ag,spherical,citrate,7.32,nm,99.98, , ,nm, , ,mV,crustacean,Daphnia magna,"fully aerated M4 medium; pH 7.81 ± 0.13, dissolved oxygen 7.44 ± 0.19 mg/L",16-h/8-h light/dark cycle,EC50,48,h,0.004,mg/L,"Asghari, Saba; Johari, Seyed Ali; Lee, Ji Hyun; Kim, Yong Seok; Jeon, Yong Bae; Choi, Hyun Jung; Moon, Min Chaul; Yu, Il Je",Toxicity of various silver nanoparticles compared to silver ions in Daphnia magna,JOURNAL OF NANOBIOTECHNOLOGY,10,,2012
Ag,spherical, ,6.47  (65.14% 1-13 ; max 129 ),nm, , , ,nm, , ,mV,crustacean,Daphnia magna,"fully aerated M4 medium; pH 7.81 ± 0.13, dissolved oxygen 7.44 ± 0.19 mg/L",16-h/8-h light/dark cycle,EC50,48,h,0.002,mg/L,"Asghari, Saba; Johari, Seyed Ali; Lee, Ji Hyun; Kim, Yong Seok; Jeon, Yong Bae; Choi, Hyun Jung; Moon, Min Chaul; Yu, Il Je",Toxicity of various silver nanoparticles compared to silver ions in Daphnia magna,JOURNAL OF NANOBIOTECHNOLOGY,10,,2012
Ag,spherical, ,17.97  (85.97% 1-45 ; max 161 ),nm,99, ,70.31% 25-100 nm; most of the others 100-250 nm,nm, , ,mV,crustacean,Daphnia magna,"fully aerated M4 medium; pH 7.81 ± 0.13, dissolved oxygen 7.44 ± 0.19 mg/L",16-h/8-h light/dark cycle,EC50,48,h,0.187,mg/L,"Asghari, Saba; Johari, Seyed Ali; Lee, Ji Hyun; Kim, Yong Seok; Jeon, Yong Bae; Choi, Hyun Jung; Moon, Min Chaul; Yu, Il Je",Toxicity of various silver nanoparticles compared to silver ions in Daphnia magna,JOURNAL OF NANOBIOTECHNOLOGY,10,,2012
Ag,"spherical, some more irregular",Sodium citrate (Na3C6H5O7),5.5,nm, , ,70,nm,below detection limit, ,mV,fish,Oncorhynchus mykiss,cell culture media Leibowitz 15, ,EC50,48,h,2.5,mg/L,"Farkas, Julia; Christian, Paul; Urrea, Julian Alberto Gallego; Roos, Norbert; Hassellov, Martin; Tollefsen, Knut Erik; Thomas, Kevin V.",Effects of silver and gold nanoparticles on rainbow trout (Oncorhynchus mykiss) hepatocytes,AQUATIC TOXICOLOGY,96,1,2010
Ag,"spherical, some more irregular",Sodium citrate (Na3C6H5O7),5.5,nm, , ,70,nm,below detection limit, ,mV,fish,Oncorhynchus mykiss,cell culture media Leibowitz 15, ,EC50,48,h,4.9,mg/L,"Farkas, Julia; Christian, Paul; Urrea, Julian Alberto Gallego; Roos, Norbert; Hassellov, Martin; Tollefsen, Knut Erik; Thomas, Kevin V.",Effects of silver and gold nanoparticles on rainbow trout (Oncorhynchus mykiss) hepatocytes,AQUATIC TOXICOLOGY,96,1,2010
Ag,"spherical, some more irregular",Sodium citrate (Na3C6H5O7),5.5,nm, , ,92.5,nm,below detection limit, ,mV,fish,Oncorhynchus mykiss,cell culture media Leibowitz 15 + dissolved organic carbon (10 mg/L of Suwannee River natural organic carbon at 19 mg/L of Ag NPs), ,EC50,48,h,2.6,mg/L,"Farkas, Julia; Christian, Paul; Urrea, Julian Alberto Gallego; Roos, Norbert; Hassellov, Martin; Tollefsen, Knut Erik; Thomas, Kevin V.",Effects of silver and gold nanoparticles on rainbow trout (Oncorhynchus mykiss) hepatocytes,AQUATIC TOXICOLOGY,96,1,2010
